파일명,시스템콜,해당함수
seccomp_prctl_filter_0_graph.txt,prctl,security_task_prctl
seccomp_prctl_filter_0_graph.txt,prctl,cap_task_prctl
seccomp_prctl_filter_0_graph.txt,prctl,smp_irq_work_interrupt
seccomp_prctl_filter_0_graph.txt,prctl,irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common_lock
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common
seccomp_prctl_filter_0_graph.txt,prctl,pollwake
seccomp_prctl_filter_0_graph.txt,prctl,default_wake_function
seccomp_prctl_filter_0_graph.txt,prctl,try_to_wake_up
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,select_task_rq_fair
seccomp_prctl_filter_0_graph.txt,prctl,select_idle_sibling
seccomp_prctl_filter_0_graph.txt,prctl,available_idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,native_smp_send_reschedule
seccomp_prctl_filter_0_graph.txt,prctl,x2apic_send_IPI
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,yama_task_prctl
seccomp_prctl_filter_0_graph.txt,prctl,prctl_set_seccomp
seccomp_prctl_filter_0_graph.txt,prctl,do_seccomp
seccomp_prctl_filter_0_graph.txt,prctl,kmem_cache_alloc_trace
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,__mutex_init
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_create_from_user
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_alloc
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_alloc_no_stats
seccomp_prctl_filter_0_graph.txt,prctl,__vmalloc
seccomp_prctl_filter_0_graph.txt,prctl,__vmalloc_node_range
seccomp_prctl_filter_0_graph.txt,prctl,__get_vm_area_node
seccomp_prctl_filter_0_graph.txt,prctl,kmem_cache_alloc_node_trace
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,alloc_vmap_area
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,kmem_cache_alloc_node
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,smp_irq_work_interrupt
seccomp_prctl_filter_0_graph.txt,prctl,irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common_lock
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock
seccomp_prctl_filter_0_graph.txt,prctl,insert_vmap_area.constprop.52
seccomp_prctl_filter_0_graph.txt,prctl,setup_vmalloc_vm
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock
seccomp_prctl_filter_0_graph.txt,prctl,__kmalloc_node
seccomp_prctl_filter_0_graph.txt,prctl,kmalloc_slab
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,alloc_pages_current
seccomp_prctl_filter_0_graph.txt,prctl,get_task_policy.part.34
seccomp_prctl_filter_0_graph.txt,prctl,policy_nodemask
seccomp_prctl_filter_0_graph.txt,prctl,policy_node
seccomp_prctl_filter_0_graph.txt,prctl,__alloc_pages_nodemask
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_fail_alloc_page
seccomp_prctl_filter_0_graph.txt,prctl,get_page_from_freelist
seccomp_prctl_filter_0_graph.txt,prctl,__inc_numa_state
seccomp_prctl_filter_0_graph.txt,prctl,prep_new_page
seccomp_prctl_filter_0_graph.txt,prctl,kernel_poison_pages
seccomp_prctl_filter_0_graph.txt,prctl,page_poisoning_enabled
seccomp_prctl_filter_0_graph.txt,prctl,kernel_init_free_pages
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,map_vm_area
seccomp_prctl_filter_0_graph.txt,prctl,vmap_page_range_noflush
seccomp_prctl_filter_0_graph.txt,prctl,kmem_cache_alloc_trace
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,smp_irq_work_interrupt
seccomp_prctl_filter_0_graph.txt,prctl,irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common_lock
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common
seccomp_prctl_filter_0_graph.txt,prctl,pollwake
seccomp_prctl_filter_0_graph.txt,prctl,default_wake_function
seccomp_prctl_filter_0_graph.txt,prctl,try_to_wake_up
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,select_task_rq_fair
seccomp_prctl_filter_0_graph.txt,prctl,select_idle_sibling
seccomp_prctl_filter_0_graph.txt,prctl,available_idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,native_smp_send_reschedule
seccomp_prctl_filter_0_graph.txt,prctl,x2apic_send_IPI
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,__alloc_percpu_gfp
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_alloc
seccomp_prctl_filter_0_graph.txt,prctl,mutex_lock_killable
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_find_block_fit
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_next_fit_region.constprop.36
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_alloc_area
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_chunk_slot.part.18
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_block_update
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_block_update_hint_alloc
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_block_refresh_hint
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_next_unpop
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_block_update
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_chunk_relocate
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_chunk_slot.part.18
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,pcpu_next_unpop
seccomp_prctl_filter_0_graph.txt,prctl,mutex_unlock
seccomp_prctl_filter_0_graph.txt,prctl,__check_object_size
seccomp_prctl_filter_0_graph.txt,prctl,check_stack_object
seccomp_prctl_filter_0_graph.txt,prctl,__virt_addr_valid
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_store_orig_filter.isra.67
seccomp_prctl_filter_0_graph.txt,prctl,smp_irq_work_interrupt
seccomp_prctl_filter_0_graph.txt,prctl,irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common_lock
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,kmem_cache_alloc_trace
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,__kmalloc_track_caller
seccomp_prctl_filter_0_graph.txt,prctl,kmalloc_slab
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prepare_filter
seccomp_prctl_filter_0_graph.txt,prctl,__kmalloc
seccomp_prctl_filter_0_graph.txt,prctl,kmalloc_slab
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,kfree
seccomp_prctl_filter_0_graph.txt,prctl,seccomp_check_filter
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_select_runtime
seccomp_prctl_filter_0_graph.txt,prctl,__kmalloc_track_caller
seccomp_prctl_filter_0_graph.txt,prctl,kmalloc_slab
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,bpf_convert_filter
seccomp_prctl_filter_0_graph.txt,prctl,__kmalloc
seccomp_prctl_filter_0_graph.txt,prctl,kmalloc_slab
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,kfree
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_realloc
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_select_runtime
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_alloc_jited_linfo
seccomp_prctl_filter_0_graph.txt,prctl,bpf_int_jit_compile
seccomp_prctl_filter_0_graph.txt,prctl,bpf_jit_blind_constants
seccomp_prctl_filter_0_graph.txt,prctl,kmem_cache_alloc_trace
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,smp_irq_work_interrupt
seccomp_prctl_filter_0_graph.txt,prctl,irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common_lock
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,kvmalloc_node
seccomp_prctl_filter_0_graph.txt,prctl,__kmalloc_node
seccomp_prctl_filter_0_graph.txt,prctl,kmalloc_slab
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,do_jit
seccomp_prctl_filter_0_graph.txt,prctl,emit_mov_reg
seccomp_prctl_filter_0_graph.txt,prctl,emit_mov_imm32
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,bpf_jit_binary_alloc
seccomp_prctl_filter_0_graph.txt,prctl,bpf_get_kallsym
seccomp_prctl_filter_0_graph.txt,prctl,module_alloc
seccomp_prctl_filter_0_graph.txt,prctl,mutex_lock
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,mutex_unlock
seccomp_prctl_filter_0_graph.txt,prctl,__vmalloc_node_range
seccomp_prctl_filter_0_graph.txt,prctl,__get_vm_area_node
seccomp_prctl_filter_0_graph.txt,prctl,kmem_cache_alloc_node_trace
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,smp_irq_work_interrupt
seccomp_prctl_filter_0_graph.txt,prctl,irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common_lock
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,alloc_vmap_area
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,kmem_cache_alloc_node
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock
seccomp_prctl_filter_0_graph.txt,prctl,insert_vmap_area.constprop.52
seccomp_prctl_filter_0_graph.txt,prctl,setup_vmalloc_vm
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock
seccomp_prctl_filter_0_graph.txt,prctl,__kmalloc_node
seccomp_prctl_filter_0_graph.txt,prctl,kmalloc_slab
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_failslab
seccomp_prctl_filter_0_graph.txt,prctl,memcg_kmem_put_cache
seccomp_prctl_filter_0_graph.txt,prctl,alloc_pages_current
seccomp_prctl_filter_0_graph.txt,prctl,get_task_policy.part.34
seccomp_prctl_filter_0_graph.txt,prctl,policy_nodemask
seccomp_prctl_filter_0_graph.txt,prctl,policy_node
seccomp_prctl_filter_0_graph.txt,prctl,__alloc_pages_nodemask
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,should_fail_alloc_page
seccomp_prctl_filter_0_graph.txt,prctl,get_page_from_freelist
seccomp_prctl_filter_0_graph.txt,prctl,__inc_numa_state
seccomp_prctl_filter_0_graph.txt,prctl,prep_new_page
seccomp_prctl_filter_0_graph.txt,prctl,kernel_poison_pages
seccomp_prctl_filter_0_graph.txt,prctl,page_poisoning_enabled
seccomp_prctl_filter_0_graph.txt,prctl,kernel_init_free_pages
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,map_vm_area
seccomp_prctl_filter_0_graph.txt,prctl,vmap_page_range_noflush
seccomp_prctl_filter_0_graph.txt,prctl,smp_irq_work_interrupt
seccomp_prctl_filter_0_graph.txt,prctl,irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common_lock
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common
seccomp_prctl_filter_0_graph.txt,prctl,pollwake
seccomp_prctl_filter_0_graph.txt,prctl,default_wake_function
seccomp_prctl_filter_0_graph.txt,prctl,try_to_wake_up
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,select_task_rq_fair
seccomp_prctl_filter_0_graph.txt,prctl,select_idle_sibling
seccomp_prctl_filter_0_graph.txt,prctl,available_idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,native_smp_send_reschedule
seccomp_prctl_filter_0_graph.txt,prctl,x2apic_send_IPI
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,jit_fill_hole
seccomp_prctl_filter_0_graph.txt,prctl,get_random_u32
seccomp_prctl_filter_0_graph.txt,prctl,find_vm_area
seccomp_prctl_filter_0_graph.txt,prctl,find_vmap_area
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock
seccomp_prctl_filter_0_graph.txt,prctl,set_memory_ro
seccomp_prctl_filter_0_graph.txt,prctl,change_page_attr_set_clr
seccomp_prctl_filter_0_graph.txt,prctl,vm_unmap_aliases
seccomp_prctl_filter_0_graph.txt,prctl,_vm_unmap_aliases
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,mutex_lock
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,purge_fragmented_blocks_allcpus
seccomp_prctl_filter_0_graph.txt,prctl,__purge_vmap_area_lazy
seccomp_prctl_filter_0_graph.txt,prctl,mutex_unlock
seccomp_prctl_filter_0_graph.txt,prctl,__change_page_attr_set_clr
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock
seccomp_prctl_filter_0_graph.txt,prctl,__cpa_addr
seccomp_prctl_filter_0_graph.txt,prctl,_lookup_address_cpa.isra.19
seccomp_prctl_filter_0_graph.txt,prctl,lookup_address_in_pgd
seccomp_prctl_filter_0_graph.txt,prctl,protect_kernel_text_ro
seccomp_prctl_filter_0_graph.txt,prctl,pfn_range_is_mapped
seccomp_prctl_filter_0_graph.txt,prctl,smp_irq_work_interrupt
seccomp_prctl_filter_0_graph.txt,prctl,irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common_lock
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,__change_page_attr_set_clr
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock
seccomp_prctl_filter_0_graph.txt,prctl,__cpa_addr
seccomp_prctl_filter_0_graph.txt,prctl,_lookup_address_cpa.isra.19
seccomp_prctl_filter_0_graph.txt,prctl,lookup_address_in_pgd
seccomp_prctl_filter_0_graph.txt,prctl,protect_kernel_text_ro
seccomp_prctl_filter_0_graph.txt,prctl,cpa_flush
seccomp_prctl_filter_0_graph.txt,prctl,flush_tlb_all
seccomp_prctl_filter_0_graph.txt,prctl,on_each_cpu
seccomp_prctl_filter_0_graph.txt,prctl,smp_call_function_many
seccomp_prctl_filter_0_graph.txt,prctl,native_send_call_func_ipi
seccomp_prctl_filter_0_graph.txt,prctl,x2apic_send_IPI_allbutself
seccomp_prctl_filter_0_graph.txt,prctl,do_flush_tlb_all
seccomp_prctl_filter_0_graph.txt,prctl,native_flush_tlb_global
seccomp_prctl_filter_0_graph.txt,prctl,set_memory_x
seccomp_prctl_filter_0_graph.txt,prctl,change_page_attr_set_clr
seccomp_prctl_filter_0_graph.txt,prctl,vm_unmap_aliases
seccomp_prctl_filter_0_graph.txt,prctl,_vm_unmap_aliases
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,mutex_lock
seccomp_prctl_filter_0_graph.txt,prctl,_cond_resched
seccomp_prctl_filter_0_graph.txt,prctl,rcu_all_qs
seccomp_prctl_filter_0_graph.txt,prctl,purge_fragmented_blocks_allcpus
seccomp_prctl_filter_0_graph.txt,prctl,__purge_vmap_area_lazy
seccomp_prctl_filter_0_graph.txt,prctl,mutex_unlock
seccomp_prctl_filter_0_graph.txt,prctl,__change_page_attr_set_clr
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock
seccomp_prctl_filter_0_graph.txt,prctl,__cpa_addr
seccomp_prctl_filter_0_graph.txt,prctl,_lookup_address_cpa.isra.19
seccomp_prctl_filter_0_graph.txt,prctl,lookup_address_in_pgd
seccomp_prctl_filter_0_graph.txt,prctl,protect_kernel_text_ro
seccomp_prctl_filter_0_graph.txt,prctl,cpa_flush
seccomp_prctl_filter_0_graph.txt,prctl,on_each_cpu
seccomp_prctl_filter_0_graph.txt,prctl,smp_call_function_many
seccomp_prctl_filter_0_graph.txt,prctl,native_send_call_func_ipi
seccomp_prctl_filter_0_graph.txt,prctl,x2apic_send_IPI_allbutself
seccomp_prctl_filter_0_graph.txt,prctl,__cpa_flush_tlb
seccomp_prctl_filter_0_graph.txt,prctl,__cpa_addr
seccomp_prctl_filter_0_graph.txt,prctl,native_flush_tlb_one_user
seccomp_prctl_filter_0_graph.txt,prctl,smp_irq_work_interrupt
seccomp_prctl_filter_0_graph.txt,prctl,irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_enter
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common_lock
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,__wake_up_common
seccomp_prctl_filter_0_graph.txt,prctl,pollwake
seccomp_prctl_filter_0_graph.txt,prctl,default_wake_function
seccomp_prctl_filter_0_graph.txt,prctl,try_to_wake_up
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irqsave
seccomp_prctl_filter_0_graph.txt,prctl,select_task_rq_fair
seccomp_prctl_filter_0_graph.txt,prctl,select_idle_sibling
seccomp_prctl_filter_0_graph.txt,prctl,available_idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,native_smp_send_reschedule
seccomp_prctl_filter_0_graph.txt,prctl,x2apic_send_IPI
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_unlock_irqrestore
seccomp_prctl_filter_0_graph.txt,prctl,irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,idle_cpu
seccomp_prctl_filter_0_graph.txt,prctl,rcu_irq_exit
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_fill_jited_linfo
seccomp_prctl_filter_0_graph.txt,prctl,kvfree
seccomp_prctl_filter_0_graph.txt,prctl,kfree
seccomp_prctl_filter_0_graph.txt,prctl,kfree
seccomp_prctl_filter_0_graph.txt,prctl,bpf_prog_free_unused_jited_linfo
seccomp_prctl_filter_0_graph.txt,prctl,_raw_spin_lock_irq
seccomp_prctl_filter_0_graph.txt,prctl,arch_seccomp_spec_mitigate
seccomp_prctl_filter_0_graph.txt,prctl,ssb_prctl_set
seccomp_prctl_filter_0_graph.txt,prctl,task_update_spec_tif
seccomp_prctl_filter_0_graph.txt,prctl,speculation_ctrl_update_current
seccomp_prctl_filter_0_graph.txt,prctl,speculation_ctrl_update_tif
seccomp_prctl_filter_0_graph.txt,prctl,speculation_ctrl_update
seccomp_prctl_filter_0_graph.txt,prctl,update_spec_ctrl_cond
